"","source","target","mor"
"509","STAT5A","PRLR",1
"510","STAT5B","GH1",1
"511","STAT5B","INS",1
"512","STAT5B","PRL",1
"513","STAT5B","PRLR",1
"514","NFKBIB","PLG",1
"515","STAT6","CREBBP",1
"516","E4F1","PVR",1
"517","SP1","CEBPA",-1
"518","CEBPB","SP1",1
"519","SP1","CEBPD",1
"520","CEBPD","SP1",1
"521","GTF2I","BTK",1
"522","NR3C1","BCL2",-1
"523","RBPJ","IL6",1
"524","SP1","ODC1",1
"525","SP3","ODC1",-1
"526","JUN","IGFBP1",-1
"527","MYC","ACTB",1
"528","MYC","BRCA1",1
"529","BRCA1","MYC",1
"530","NR5A1","CYP19A1",1
"531","ENO1","IL6",1
"532","XBP1","IL6",-1
"533","ZNF362","NODAL",1
"534","PPARA","VCAM1",-1
"535","HOXB1","HOXB1",1
"536","ESR1","NRIP1",1
"537","MYC","BIN1",1
"538","MYC","ODC1",1
"539","MYC","PTMA",1
"540","PKNOX1","HOXB1",1
"541","NRF1","CXCR4",1
"542","GATA1","BCL2L1",1
"543","MYCN","NDRG1",1
"544","MYC","NDRG1",-1
"545","MAX","NDRG1",-1
"546","NR4A3","ITK",1
"547","NR4A3","CD28",1
"548","TP63","CDKN1A",1
"549","NRG1","PXN",1
"550","SSRP1","MAPK8",1
"551","SSRP1","TRAF1",1
"552","SP1","CYP11A1",1
"553","MAZ","MYC",1
"554","ZNF91","MYC",-1
"555","TBP","ACHE",1
"556","SSRP1","INS",1
"557","ESR1","COMT",1
"558","SPI1","TIMP1",1
"559","POU1F1","GH1",1
"560","NR2C1","HRH1",-1
"561","ERF","CRYAA",1
"562","ATF1","EGR1",1
"563","CREB1","EGR1",1
"564","ATF1","MAP2K2",1
"565","ID3","BMP4",1
"566","ID2","ID3",1
"567","ID3","ID2",1
"568","JUN","CRYAA",1
"569","EGR1","ABCB1",1
"570","ZNF354C","ABCB1",1
"571","WT1","ABCB1",1
"572","USF1","PDX1",1
"573","YY1","CETP",1
"574","SREBF1","CETP",1
"575","EGR1","EGF",1
"576","EGR1","TKT",1
"577","ELF1","FCGRT",-1
"578","ELF1","IGHE",1
"579","GATA1","FCGRT",1
"580","GATA1","IGHE",1
"581","HMGA1","LY6E",1
"582","HMGA2","LY6E",1
"583","POU2F1","LY6E",1
"584","POU2F2","LY6E",1
"585","GATA1","EPB42",1
"586","PHOX2B","PHOX2B",1
"587","PHOX2B","DBH",1
"588","PHOX2B","FOS",1
"589","POU1F1","PRDX6",1
"590","SP1","PRDX6",1
"591","CREB1","MYB",1
"592","SREBF2","KPNB1",1
"593","AHR","CDKN1B",1
"594","EGR1","EGR1",-1
"595","TP53","TUBB3",1
"596","ELF1","LYZ",1
"597","ELF4","LYZ",1
"598","SREBF1","SCD5",1
"599","TP53","GABRA6",1
"600","TTF1","SLC5A5",1
"601","DLX4","GATA1",1
"602","STAT1","CD40",1
"603","NR0B1","STAR",-1
"604","AR","STAR",1
"605","STAT5A","HSD3B2",1
"606","MAX","STAT5A",1
"607","NR1I2","CYP3A4",1
"608","HNF1A","CYP7A1",1
"609","NR1H3","CYP7A1",1
"610","NR2F2","CYP7A1",1
"611","IRF1","TNF",1
"612","MITF","TPSB2",1
"613","CREB1","PRL",1
"614","NCOA1","PRL",1
"615","NR4A1","PRL",1
"616","VDR","PRL",1
"617","NCOR1","MYOD1",1
"618","JUNB","CLU",1
"619","STAT1","IFNA1",1
"620","WT1","WT1",-1
"621","WT1","BCL2",1
"622","FOS","CLU",-1
"623","FOSL1","CLU",1
"624","TBP","INS",1
"625","CREB1","TH",1
"626","JUN","SFTPB",-1
"627","PAX6","UNC5C",1
"628","ASCL1","EHD1",1
"629","MTF2","ACE2",1
"630","CREM","INS",1
"631","CREM","TAF4",1
"632","SREBF1","PPARG",1
"633","PPARG","SREBF1",1
"634","PPARG","SREBF2",-1
"635","SREBF2","PPARG",1
"636","ESR1","CKB",1
"637","ESR2","OXT",1
"638","PAX3","PAX3",1
"639","PAX3","PDGFRA",-1
"640","CEBPG","HPN",1
"641","SP1","HPN",1
"642","TFAP2A","HPN",1
"643","SP1","ABCB1",1
"644","YBX1","ABCB1",1
"645","HIF1A","VEGFA",1
"646","JUN","SPI1",1
"647","SPI1","JUN",1
"648","USF1","SPP1",1
"649","SMAD4","CDKN1A",1
"650","PDX1","S100G",1
"651","VDR","S100G",1
"652","DNMT1","CFTR",1
"653","KLF5","MYH10",1
"654","KLF5","GZMA",1
"655","ESR1","C3",1
"656","NR3C1","CSN2",1
"657","NR3C2","CSN2",1
"658","PGR","CSN2",-1
"659","EGR1","TNF",1
"660","TBP","SNAP25",1
"661","IRF1","IL18",1
"662","STAT5A","IL4",1
"663","STAT5B","IL4",1
"664","SP1","FN1",1
"665","DLX4","SPMAP2",1
"666","ZBTB12","SPMAP2",1
